subject,cohort_of,sector,is_failure_strict,is_failure_extended,distress_score,signals_fired,novelty_spike,declining_ud,chronic_ud,max_rank,mean_rank,t0_rank,own_max_raw,event_fy,reference_date,data_found,fwd_12m_excess,fwd_24m_excess,fwd_36m_excess,ref_price,ref_date,fwd_12m_return,fwd_12m_status,fwd_24m_return,fwd_24m_status,fwd_36m_return,fwd_36m_status,reason
ARCB,YELL,LTL trucking,0,0,30,1,0,1,0,0.5,0.38,0.25,0.029,2022,2023-04-01,True,0.27113899115826984,-0.6199486378613352,-0.5524136574409797,89.97599792480469,2023-04-03,0.5601557625689224,ok,-0.22144908301587998,ok,0.09210321695289898,ok,
CLX,TUP,Household consumer,0,0,30,1,0,1,0,0.5,0.38,0.25,0.034,2022,2023-04-01,True,-0.28924214583280206,-0.3959600954308659,-0.9100294079166813,139.33518981933594,2023-04-03,-0.0002253744221495091,ok,0.002539459414589391,ok,-0.26551253352280263,ok,
EXPR,EXPR,Specialty apparel retail,1,1,30,1,0,0,1,0.33,0.21,0.17,0.08,2022,2023-04-01,False,,,,,,,,,,,,
SDC,SDC,Dental / consumer health,1,1,30,1,0,0,1,0.33,0.33,0.33,0.016,2022,2023-04-01,True,-1.2828439320606229,-1.3977588140717114,-1.6442699608205962,0.4050000011920929,2023-04-03,-0.9938271606499702,ok,-0.9992592592262562,ok,-0.9997530864267175,ok,
WSM,BBBY,Specialty retail,0,0,30,1,0,0,1,0.33,0.26,0.33,0.078,2022,2023-04-01,True,1.3678336353574096,1.3086478183802412,1.5258664735881038,57.28215789794922,2023-04-03,1.6568504067680623,ok,1.7071473732256965,ok,2.1703833479819825,ok,
LCID,RIDE,EV / cleantech,0,1,30,1,0,0,1,0.33,0.33,0.33,0.012,2022,2023-04-01,True,-0.9269914501262257,-1.092170431263943,-1.523883966381585,79.0,2023-04-03,-0.6379746787155731,ok,-0.6936708764184879,ok,-0.8793670919877065,ok,
WSM,SHLD,Dept store retail,0,0,30,1,0,0,1,0.17,0.17,0.17,0.023,2017,2018-04-01,True,0.05129407154513638,-0.13376638628908574,2.2917155723505767,20.723876953125,2018-04-02,0.18298009807386464,ok,-0.09240553395770748,ok,2.918645446780939,ok,
WSM,JCP,Dept store retail,0,0,30,1,0,0,1,0.17,0.17,0.17,0.018,2019,2020-04-01,True,3.3074485258547197,2.0336590064141795,1.6962667071148223,16.632495880126953,2020-04-01,3.96105166178185,ok,2.927785291606242,ok,2.4439902763898793,ok,
WSM,PIR,Home goods specialty,0,0,30,1,0,0,1,0.17,0.17,0.17,0.018,2019,2020-04-01,True,3.3074485258547197,2.0336590064141795,1.6962667071148223,16.632495880126953,2020-04-01,3.96105166178185,ok,2.927785291606242,ok,2.4439902763898793,ok,
WSM,ASNA,Specialty retail,0,0,30,1,0,0,1,0.17,0.17,0.17,0.018,2019,2020-04-01,True,3.3074485258547197,2.0336590064141795,1.6962667071148223,16.632495880126953,2020-04-01,3.96105166178185,ok,2.927785291606242,ok,2.4439902763898793,ok,
HTZ,HTZ,Car rental / equipment,1,1,10,0,0,0,0,1.0,0.83,0.67,0.065,2019,2020-04-01,False,,,,,,,,,,,,no ref price
HBAN,SIVB,Mid-cap commercial bank,0,0,10,0,0,0,0,1.0,0.83,1.0,0.061,2022,2023-04-01,True,0.006502596287467521,0.07988182787986192,-0.043803361504645144,9.77688980102539,2023-04-03,0.2955193676981201,ok,0.4783813827253172,ok,0.6007135128892336,ok,
LULU,PTON,D2C consumer subscription,0,0,10,0,0,0,0,1.0,0.72,0.67,0.084,2022,2023-04-01,True,-0.240568163337017,-0.6280586123822216,-1.2278048203739438,367.3999938964844,2023-04-03,0.04844860807363558,ok,-0.22955905753676625,ok,-0.583287945980065,ok,
ROK,PTON,D2C consumer subscription,0,0,10,0,0,0,0,1.0,0.89,1.0,0.071,2022,2023-04-01,True,-0.2988848816725712,-0.47879725432572473,-0.34750099394629397,275.84576416015625,2023-04-03,-0.009868110261918634,ok,-0.08029769948026942,ok,0.29701588044758476,ok,
