ticker,fiscal_year,risk_chars,redflag_total,token_count,neg_ratio,unc_ratio,lit_ratio,netneg_ratio,group
LMT,2018,56933,1,8555,0.03635300993571011,0.03506721215663355,0.024663939216832263,0.027118644067796613,survivor
LMT,2019,68307,1,10311,0.03549607215594996,0.03326544467073999,0.024051983318785764,0.02734943264474833,survivor
LMT,2020,100613,1,15071,0.03138477871408666,0.030389489748523655,0.021431889058456638,0.023422466989582648,survivor
LMT,2021,88595,1,13303,0.03833721716905961,0.033300759227241974,0.02443057956851838,0.028715327369766223,survivor
LMT,2022,82373,1,12317,0.04018835755459933,0.034180401071689535,0.02500608914508403,0.031014045627993828,survivor
LMT,2023,74615,2,11137,0.04094459908413397,0.03519798868636078,0.026667863877166204,0.031965520337613365,survivor
LMT,2024,75407,1,11262,0.04066773219676789,0.036139229266560116,0.02663825253063399,0.03178831468655656,survivor
LMT,2025,78715,1,11767,0.03994221126880258,0.03518313928783887,0.025834962182374438,0.03178380215857908,survivor
PTON,2022,225235,20,34517,0.04267462409827042,0.03233189442883217,0.014630471941362227,0.033345887533679064,failure
PTON,2023,219635,19,33577,0.04440539655121065,0.032403133097060485,0.015993090508383715,0.03517288620186437,failure
PTON,2024,196620,19,29954,0.04473526073312412,0.03351806102690792,0.015891032917139614,0.03518728717366629,failure
PTON,2025,203862,17,31050,0.04483091787439614,0.03397745571658615,0.015877616747181966,0.035265700483091786,failure
SI,2019,230729,2,34571,0.028694570593850336,0.02366145034855804,0.015591102369037633,0.020421740765381387,failure
SI,2020,184185,2,27651,0.029727677118368233,0.024556073921377167,0.014104372355430184,0.02130121876243174,failure
SI,2021,168382,4,25148,0.02859074280260856,0.022546524574518848,0.015707014474312074,0.019922061396532527,failure
SIVB,2020,112476,2,16996,0.044128030124735235,0.03571428571428571,0.01400329489291598,0.037126382678277246,failure
SIVB,2021,120087,2,18127,0.04280906934407238,0.03591327853478237,0.013626082639157058,0.03585811220830805,failure
SIVB,2022,123938,2,18740,0.04375667022411953,0.03612593383137674,0.013607257203842048,0.03713980789754536,failure
